price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built
313000,3,2,1340,7912,2,0,0,3,1340,0,1955
2384000,5,2,3650,9050,2,0,4,5,3370,280,1921
342000,3,2,1930,11947,1,0,0,4,1930,0,1966
420000,3,3,2000,8030,1,0,0,4,1000,1000,1963
550000,4,3,1940,10500,1,0,0,4,1140,800,1976
490000,2,1,880,6380,1,0,0,3,880,0,1938
335000,2,2,1350,2560,1,0,0,3,1350,0,1976
482000,4,3,2710,35868,2,0,0,3,2710,0,1989
452500,3,3,2430,88426,1,0,0,4,1570,860,1985
640000,4,2,1520,6200,3,0,0,3,1520,0,1945
463000,3,2,1710,7320,1,0,0,3,1710,0,1948
1400000,4,4,2920,4000,3,0,0,5,1910,1010,1909
588500,3,3,2330,14892,1,0,0,3,1970,360,1980
365000,3,1,1090,6435,1,0,0,4,1090,0,1955
1200000,5,4,2910,9480,3,0,0,3,2910,0,1939
242500,3,2,1200,9720,1,0,0,4,1200,0,1965
419000,3,2,1570,6700,1,0,0,4,1570,0,1956
367500,4,3,3110,7231,2,0,0,3,3110,0,1997
257950,3,2,1370,5858,1,0,0,3,1370,0,1987
